No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
24245,2012,10,7,4,129.0,9,10.0,1024.0,NW,0.89,0,0
41901,2014,10,12,20,13.0,-1,13.0,1030.0,NW,29.96,0,0
30326,2013,6,17,13,16.0,16,29.0,1001.0,SE,1.79,0,0
39739,2014,7,14,18,42.0,15,35.0,1001.0,SE,19.67,0,0
15364,2011,10,3,3,32.0,2,4.0,1030.0,NW,7.6,0,0
11334,2011,4,18,5,4.0,-8,7.0,1017.0,NE,1.79,0,0
23182,2012,8,23,21,66.0,17,23.0,1014.0,SE,29.51,0,0
11947,2011,5,13,18,31.0,-6,24.0,1009.0,NW,134.1,0,0
34592,2013,12,12,7,23.0,-19,-1.0,1020.0,NW,8.94,0,0
10328,2011,3,7,7,16.0,-16,2.0,1026.0,NW,8.94,0,0
41939,2014,10,14,10,26.0,-1,14.0,1021.0,cv,0.89,0,0
27270,2013,2,10,5,23.0,-19,-4.0,1029.0,NE,4.92,0,0
37652,2014,4,18,19,129.0,5,16.0,1019.0,SE,31.29,0,0
27303,2013,2,11,14,93.0,-10,-2.0,1032.0,SE,3.58,0,0
42314,2014,10,30,1,210.0,7,11.0,1023.0,SE,2.67,0,0
3160,2010,5,12,15,43.0,6,24.0,1016.0,SE,8.05,0,0
18956,2012,2,29,19,253.0,-6,2.0,1019.0,NE,1.78,0,0
41091,2014,9,9,2,39.0,13,15.0,1009.0,NE,2.68,0,0
42479,2014,11,5,22,5.0,-6,10.0,1023.0,NW,8.05,0,0
33966,2013,11,16,5,71.0,-8,8.0,1014.0,NW,6.26,0,0
26295,2012,12,31,14,87.0,-16,-1.0,1016.0,cv,3.56,0,0
31011,2013,7,16,2,64.0,22,23.0,995.0,NE,0.89,0,0
11609,2011,4,29,16,157.0,10,19.0,998.0,SE,21.02,0,0
8183,2010,12,7,22,52.0,-14,1.0,1012.0,NE,0.89,0,0
11270,2011,4,15,13,28.0,-8,23.0,1012.0,NE,13.86,0,0
16283,2011,11,10,10,43.0,-5,12.0,1021.0,NW,26.38,0,0
15158,2011,9,24,13,125.0,10,27.0,1013.0,SE,3.13,0,0
34423,2013,12,5,6,25.0,-11,2.0,1024.0,NW,4.92,0,0
8251,2010,12,10,18,13.0,-20,0.0,1019.0,NW,143.95,0,0
25068,2012,11,10,11,83.0,5,8.0,1022.0,NW,3.13,0,4
2641,2010,4,21,0,48.0,-2,13.0,1022.0,SE,16.99,0,0
9866,2011,2,16,1,312.0,-9,-6.0,1025.0,NW,5.37,0,0
5715,2010,8,27,2,36.0,15,22.0,1013.0,NW,21.46,0,0
602,2010,1,26,1,,-16,-8.0,1029.0,cv,1.78,0,0
23444,2012,9,3,19,11.0,6,21.0,1014.0,NW,59.0,0,0
12856,2011,6,20,15,134.0,20,34.0,1002.0,SE,8.05,0,0
26991,2013,1,29,14,476.0,-4,-3.0,1024.0,SE,3.58,5,0
13759,2011,7,28,6,202.0,24,25.0,1004.0,SE,50.06,0,0
2034,2010,3,26,17,65.0,-13,15.0,1014.0,SE,36.66,0,0
36890,2014,3,18,1,21.0,-10,10.0,1019.0,NW,129.62,0,0
9931,2011,2,18,18,226.0,-7,5.0,1024.0,SE,15.65,0,0
5018,2010,7,29,1,151.0,25,29.0,996.0,SE,38.89,0,0
23994,2012,9,26,17,9.0,12,24.0,1018.0,SE,0.89,0,0
17093,2011,12,14,4,13.0,-16,-3.0,1031.0,NW,57.23,0,0
39240,2014,6,23,23,29.0,16,25.0,1006.0,SE,12.52,0,0
37082,2014,3,26,1,201.0,4,11.0,1010.0,NE,0.89,0,0
29937,2013,6,1,8,124.0,14,25.0,1007.0,NE,3.13,0,0
